developer,manufacturer,complete_core,missing_fields,mdc_combinations,mdc_films
FD10,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",89,49
FF No 1 Monobath,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
Finol,Moersch Photochemie,NO,"preparation,reuse_mode,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",43,33
Foma Retro Special,FOMA BOHEMIA,YES,"shelf_life_opened,shelf_life_stock",7,6
Foma Universal,FOMA BOHEMIA,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",16,15
Foma W-17 Hydrofen,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",18,11
Fomadon Excel,FOMA BOHEMIA,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",40,29
Fomadon LQN,FOMA BOHEMIA,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",64,48
Fomadon LQR,FOMA BOHEMIA,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",14,12
Fomadon P,FOMA BOHEMIA,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",30,27
Fomadon R09,FOMA BOHEMIA,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",84,46
FotoApteka A-RSC,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
Fuji Microfine,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",26,14
FX-1,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",13,13
FX-15,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",15,8
FX-18,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
FX-19,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",27,27
FX-2,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",6,6
FX-37,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",20,17
FX-39,ADOX Fotowerke GmbH,YES,"shelf_life_unopened,shelf_life_stock",110,71
FX-4,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",4,4
FX-5,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",5,5
FX-55,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",29,25
Germain's Finegrain,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",2,2
GSD-10,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",12,7
GVB-194,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
HC-110,Kodak Alaris,YES,"shelf_life_unopened,shelf_life_opened",656,209
Hubl Glycin Paste,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",5,5
Hypercat,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",14,10
ID-11,HARMAN technology / ILFORD,YES,,764,212
ID-62,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",2,2
ID-68,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",6,5
Ilford Multigrade,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",5,5
Ilfosol 3,HARMAN technology / ILFORD,YES,shelf_life_stock,308,116
Ilfotec DD,HARMAN technology / ILFORD,NO,"capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",145,42
Ilfotec DD-X,HARMAN technology / ILFORD,YES,"shelf_life_unopened,shelf_life_stock,shelf_life_working",339,109
Ilfotec HC,HARMAN technology / ILFORD,YES,shelf_life_working,198,80
Ilfotec LC29,HARMAN technology / ILFORD,NO,"preparation,shelf_life_unopened,shelf_life_stock,shelf_life_working",249,81
Ilfotec RT Rapid,HARMAN technology / ILFORD,YES,shelf_life_stock,5,3
JOBO Alpha,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",2,2
Kalogen,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",15,14
